,annot,count
3374,tech alerts pt,24
1155,rubbing eyes,24
1592,touching head,24
1579,increasing sens=7,24
2822,sitting,24
11306,COUGHING ,24
151,10HZ,23
1426,theta,23
1351,LT,23
3064,headmidline,23
131,SIGH,23
130,nodding,23
8996,"Montage:DOUBLE BANANA, Common..Channel S",23
1318,is talking,23
2057,noise out side,23
3815,h,23
3166,pt kept eyes open,23
4963,23.0 Hz,23
591,turning EOG off,23
2269,sens=10,22
6397,moved,22
5814,chewing motions,22
6281,delta,22
1342,is resting quietly,22
7689,slow,22
549,tech checking T3,22
4298,heavy breathing,22
4416,left temp,22
9443,3 uv/mm,22
820,talking moving,22
280,stop poorly done,22
465,nil to see,22
1281,ekg contamination,21
3634,confused,21
2247,snake,21
2793,EXPLAIN HV,21
1795,jerking,21
972,bitemp,21
2728,HM,21
3900,nil,21
1889,swallows ,21
20106,hicup,21
1354,set up photic now,20
492,noise around,20
1439,10-11Hz,20
3078,great overall effort for 3mins,20
6032,lights on,20
1327,2017,20
1764,look back,20
1011,will end here,20
3162,"Montage:Lab1---AP Bipolar, AUX1",20
822,eye close,20
1995,tech checking P4,20
4560,grinding teeth,20
4566,Seizure,20
466,head to left,20
652,sens to 7,20
2344,blink,20
126,ekg contam,20
1053,SELF-ALERT ,20
186,NOISY OUTSIDE ,20
5380,RT,20
1732,moan,20
1118,moving mouth,20
2335,lifting head,20
401,occasionally drowsy,20
5457,grimacing,20
1116,jaw muscle,20
1126,eye movment,20
601,P3 pop,19
12917,tried to get up,19
4064,is moving,19
15560,voices,19
3368,nurse working near Pt,19
590,IGUANA,19
8091,head midlien,19
1567,RIGHT ,19
5297,scratch face,19
4587,MUSCLE ARTIFACT,19
247,sens 7,19
403,vdrowsy,19
818,EYES OPEN,19
147,HORSE,19
5752,cheek twitch,19
3518,e,18
5193,ec head mid,18
9599,snorring,18
3299,head shaking,18
798,TALKING ,18
7376,7 uv/mm,18
3223,Pt touching head,18
3583,falling asleep,18
1067,self arrousal,18
11554,"head left, eyes closed, asleep",18
16896,eyelid flicker,18
2389,supine - head midline - ec - asleep,18
2948,moving feet,18
2959,good effort contineus,18
6029,lateral ems,18
1730,"ec, head midline, drowsy",18
6142,okay effort,18
1171,? Event,18
353,stop very well done,18
876,tape over eyelids,18
180,RT TEMP,18
361,eys open,18
4768,NR,17
1313,slowing,17
1499,tech checking T5,17
2060,eyesopen,17
1316,head is midline,17
1233,laboured breathing,17
615,head is slightly right,17
5750,asking Pt to relax jaw,17
476,"Montage:Lab1---AP Bipolar, Common..Chann",17
324,ems,17
19626,legs,17
2199,touching face,17
4036,5,17
1772,R,17
1006,10,17
1119,wiggling fingers,17
3042,head to right,17
2797,HINT,17
2769,2016,17
4152,eye open,17
4935,left temporal,16
4452,eyes closed ,16
268,SCRATCHING,16
2529,increasing sens=10,16
866,noisy outside,16
1992,tech checking O2,16
2582,awake/drowsy,16
114,pt kept eye open,16
2278,pt arrousal,16
1908,move ,16
400,sens to 10,16
5285,count to ten,16
4887,"EYES CLOSED, HEAD LEFT, COMATOSE",16
1884,last time of meal? ,16
5547,Lt,16
9438,electrode artifact,16
2246,mu,16
3271,stretch,16
4413,no HV due to age,16
289,tech checking A1/2,16
5786,unresponsive,16
4157,MOVING TALKING,16
1723,tech checking T6,16
759,coma?,16
793,SNORING ,16
1353,will alert pt again here,16
548,increasing sens=5,16
2725,withd,16
3228,clenching jaw,16
7751,Montage:R-18.1 Referential for 18 Channe,16
1564,Montage:TRANSVERSE vk,16
1821,naming months backwards,16
73,moving and talking,16
277,FROG,16
334,sneeze,16
3914,let pt rest,16
2255,pt resting quetily,16
3308,notch=off,16
6555,emg there,15
1950,ON TO BIPOLAR FOR HV ,15
1396,P4 pop,15
314,sharply contoured,15
2569,NOISY OUTSIDE,15
6561,YAWNING,15
4054,rmtd,15
4706,encourage ,15
59,12,15
8171,2019,15
236,pops,15
2058,p3 pop,15
2987,head is right,15
7118,LIGHT SLEEP,15
990,waiting for sleep,15
2594,end count,15
852,SELF-ALERT,15
10571,lifting head up,15
4590,vancouver,15
12613,right underlying slow,15
589,HIPPO,15
3775,eyes remain closed,15
9369,t5 pop,15
63,28,15
1480,overall low ampl,15
152,11HZ,15
3506,pt scratching face,15
3528,good overall effort,15
5400,wiggle fingers,15
5993,trying to get up,15
3236,light drowsy,15
10433,T4,15
4918,"HEAD LEFT, EYES CLOSED, COMATOSE ",15
1559,EKG artifact noted,15
1892,good effort cont,15
4262,very good effort,15
3637,lying on left side,15
1547,head lying left,15
1570,GOOD EFFORT CONT,14
2780,Montage:GM Transverse vk,14
4798,9hz,14
1292,fully oriented,14
1261,no trigger,14
313,burst,14
4253,head to the right,14
1734,will alert pt now,14
756,ELPEHANT,14
7253,better now,14
2172,pt speaks no english,14
269,9HZ,14
2254,lots of eye movements,14
2267,laughs,14
246,no clinical,14
2718,COMA,14
5138,**TAG** ,14
836,SWALLOWS,14
9450,T3,14
3715,t,14
4038,30,14
495,eye blinking,14
1437,Sigh,14
7024,C4 pop,14
1449,PVC,14
477,sitting in wheelchair,14
419,breathing heavily,14
3598,drwosy,14
1643,nice PDR,14
672,answered,14
1964,NOISE OUTSIDE ,14
5936,hiccup,14
3941,eye mvmnts,14
2025,sleep deprived,14
4942,LT TEMP,14
1878,moving ,14
61,18,14
11957,"Montage:DOUBLE BANANA 18, AUX1",14
7428,"head right, eyes open, awake",14
1887,good effort to start ,14
1001,30-3,14
243,eyes still open,13
1434,tech reapplied A2,13
5545,? Spike,13
16806,pumping fists,13
2733,tech gave Pt blanket,13
3745,hospital,13
3290,counting back,13
2237,pt resting quielty,13
1882,handedness? ,13
5439,head up,13
2341,pt is talking,13
1881,alerting for PDR ,13
2673,muscle spasm,13
19720,GEN DELTA,13
2680,moving head side to side,13
1716,sens remains 5,13
5667,resting quiet,13
4344,f,13
8803,eye blink,13
145,GOAT,13
3510,eye blinks,13
9228,leg mv,13
1886,explain HV ,13
5771,VOICES OUTSIDE,13
1457,moving eyes,13
6780,tech checking lead,13
2923,some head mvts,13
1788,excellent effort,13
1501,STOP VERY POORLY DONE,13
8369,groan,13
734,SENS 10,13
1504,increasing EKG sens,13
1923,tech removed neck roll,13
1218,HFF 30,13
4633,quiet,13
396,tech pressing,13
1588,checking EKG leads,13
5793,pt drowsy,13
473,checking EKG,13
4265,date of birth,12
10516,a,12
693,fragment,12
1665,is sleep deprived,12
4720,Nil to Note,12
6838,spelling last anme,12
2372,trembling,12
1502,"Montage:surface sphenoidals, Common..Cha",12
2410,resting quielty,12
1638,pt is sleep deprived,12
2560,RIGHT,12
25038,Head Right ,12
6030,will alert again,12
1319,head midline on neck roll,12
9687,calling name,12
5394,3,12
5411,buildup,12
15509,sens 5 uv/mm,12
6062,good effrot,12
8440,coma scale 3 of 15,12
4104,electrode pop,12
8372,CALL NAME,12
5084,RMTD,12
2083,continues good effort,12
2810,Seizure Onset,12
2078,some ekg contam,12
4044,will go with this,12
15254,"EYES OPEN, HEAD MIDLINE, AWAKE",12
11050,NOTE,12
1384,head turned to left,12
10854,ALL FINISHED NOW ,12
2855,"HEAD TO RIGHT, EYES CLOSED, RESTING QUIE",12
4502,voices outside ,12
2824,keep eyes open,12
23200,EYE MVTS,12
3840,head L,12
2709,2 1/2 HV,12
3805,left temp delta,12
3327,awkae,12
3230,movts,12
7110,eyes slightly open,12
7784,"Montage:Lab1----AP Bipolar, Common..Chan",12
9640,left underlying slow,12
6162,tied ears for ekg contamination,12
3161,restingq,12
7673,lifted head,12
2729,RQ,12
216,some buildup,12
4009,eye mvmt,11
10776,YAWN ,11
1515,DOING WELL,11
16459,BREATH,11
1947,LAST TIME OF MEAL?,11
1025,YAWN,11
2452,MODERATE EFFORT ,11
1926,dec sens=20,11
14539,repeats,11
2110,no withdrawal,11
228,talking and moving,11
4585,pt is very drowsy,11
4685,stopped HV,11
7058,yawing,11
8828,Lt temp delta,11
1109,cz pop,11
10572,head down,11
1641,head mdiline,11
1996,sens=15,11
1740,T6 pop,11
1101,pt restingq ueitly,11
7447,Head Right,11
1496,tech checking F8,11
7207,name animal,11
4362,lay on left side,11
214,some emg,11
14709,clearing throat,11
7066,eye movment art,11
238,stretches,11
58,9,11
1805,rolled head,11
979,letting pt rest,11
854,MOVE ,11
6097,no epileptiform noted,11
5194,mouth open,11
12007,no withdraw,11
9616,MOVED,11
5686,voices outside,11
488,Custom...,11
828,SWALLOWS ,11
2752,struggling against restraints,11
13532,"EYES OPEN, HEAD TO LEFT ",11
2944,slight drowsy,11
1400,mv ,11
4803,FISH,11
2659,pt is restless,11
6649,HEAD MOVING,11
3425,touching head leads,11
3548,Montage:TB-16.1 Transverse Bipolar for 1,11
3084,sss,11
2580,deep breathing,11
3214,snoring loudly,11
738,SEE HERE,11
9130,see EKG,11
5105,pt fell asleep during set up,11
751,HV 4MIN,11
478,mom talking to Pt,11
750,HV 3MIN,11
9688,asking pt to EO,11
9664,GSW,11
5473,noisy outside ,11
5578,tongue mv,11
846,GOOD EFFORT ,11
2785,sleep,11
3241,stop HV,11
2708,1 1/2 HV,11
3343,some mouth mvts,11
2997,moans,10
4841,PRESSING,10
1397,p4 pop,10
1646,27-3,10
17278,frontal slowing,10
6167,nice driving,10
8703,GORILLA,10
8267,WILL FINISH UP NOW ,10
3551,Photic Begin,10
2949,mouth movements,10
8701,YEAR?,10
3899,low ampl diffuse beta,10
971,bitemp delta,10
6363,moves a lot,10
2833,no withd.,10
1604,speaking in Japanese,10
2129,LINKED EARS FOR EKG CONTAM ,10
2816,Seizure End,10
1621,c,10
6776,asking Pt to relax face,10
1010,8,10
4115,turning A1/2 off,10
9198,hand mv,10
3211,tech checking A1,10
15514,sens 3 uv/mm,10
544,head to the left,10
3739,did so,10
3328,no english,10
5133,handedness?,10
3168,murmur,10
9641,left slow,10
1102,scratching nose,10
4129,ask to keep head still,10
560,is snoring,10
9147,no w,10
5800,start,10
13114,no wd,10
1385,C3 pop,10
3045,less comments,10
5489,lights out encouraged sleep,10
1134,head bobbing,10
5470,moderate effort ,10
4632,coma scale 10 of 15,10
3889,EXCELLENT EFFORT,10
12947,rt temp sharp,10
2800,"Montage:IPS, Common..Channel Status Set ",10
1031,CLEAR THROAT ,10
1874,sens7,10
4453,eye mvmts,10
10887,Note,10
3115,10hz,10
3412,explaining HV,10
3411,turning EOG on,10
5657,left jaw muscle,10
13608,good effort conitnues,10
5116,lay on right side,10
4004,scratching head,10
884,T5 pop,10
5248,d,10
1575,ALERTING NOW FOR PS ,10
2514,4x7,10
267,pt snoring,10
6562,head mdline,10
4014,ecnourage,10
11232,left toe nail,10
2747,Pt struggling against restraints,10
915,inc sens=15,10
6518,Light sleep,10
2658,cleared throat,10
8831,Rt temp delta,10
9936,?,10
8069,NIL TO NOTE,10
839,EXPLAIN HV ,10
5262,right hand,10
6559,clenching teeth,10
2596,Montage:DOUBLE BANANA1,10
4742,lots of beta,10
2798,tech fixing EOG,10
8867,am alerting,10
8050,spelling last anem,10
2297,asking pt to close eyes,10
2205,ncc,10
2688,supine - head midline - ec- awake,10
2190,Eyes open,10
2202,hea dright,10
8947,kept eyes open,10
8129,head movement ,10
16372,left underlying delta,9
4746,pz pop,9
1518,COUGH,9
520,birthdya?,9
2306,pt shaking,9
3724,ask to relax jaw,9
5551,tech checking F4,9
671,tech says red dog,9
8663,construction noise,9
8660,note ekg,9
3722,lamma,9
4621,head midline ,9
1474,2,9
4705,lick lips ,9
8127,t6 pop,9
2425,head right ,9
1806,eyes open ,9
5255,reapplied T4,9
4003,sens to 3,9
3210,STOP POORLY DONE,9
7776,Nurse working near Pt,9
4457,drowsy ,9
1380,will alert again here,9
3824,gen delta,9
1056,STOP,9
3841,diffuse theta,9
2595,"Montage:STRAIGHT LINE, AUX1..Channel Sta",9
9626,9-10Hz,9
5906,Sneeze,9
10863,Montage:Double Banana,9
3157,o,9
1075,pt refused to do HV,9
3130,asking pt to relax jaw,9
262,will press,9
2291,lots of movement,9
6017,is awake and alert,9
3319,alert,9
19465,making faces,9
24193,eye moevements,9
3260,EYES CLOSED,9
1630,c4 pop,9
977,underlying delta,9
6804,still,9
4280,tech checking O1,9
6469,Pt yelling,9
6315,g,9
2875,NURSE AT BEDSIDE ,9
4682,mu confirmed,9
3765,great effort continues,9
963,relax,9
3574,jerks,9
11759,head R,9
3305,head vibrating,9
5162,head midline awake,9
17227,rocking head,9
2234,great effort throughout,9
1763,nosie,9
9158,Good Effort,9
1270,tech checking EKG,9
952,2015,9
6404,burnaby hospital,9
2171,restin gq,9
16323,head slight right,9
8741,mving,9
13533,YELLING ,9
5418,room lights down,9
5091,Pt touching leads,9
3619,nurse at bedside,9
2283,going to set up photic,9
1137,head lifted off bed,9
7767,TALKING MOVING,9
5463,awake ,9
6086,pt very drowsy,9
3029,mvt,9
5298,checking A2,9
5311,will alert soon,9
6528,noise in room,9
15915,eyes open - unfocused,9
11233,right toe nail,9
709,better,9
710,spelling alst name,9
2964,MU,9
2030,anxious,9
2962,will alert now again,9
11234,right finger nail,9
2960,lt temp dys,9
13062,HEAD LEFT ,9
6872,head slighlty left,9
1505,tech checking F3,8
430,ec drowsy,8
9558,started,8
5729,tech checking C4,8
20348,Snoring,8
5207,mmvnt,8
12537,is muscle,8
8490,tech checking F7,8
4489,turning EOG + A1/2 off,8
8527,tech checking EOG,8
8499,reapplied A2,8
10653,thursday,8
5376,march,8
9265,won't close eyes,8
3710,"Montage:Channel Test Referential [01], A",8
3568,sitting up,8
9333,MOVING EYES,8
3289,dob? correct,8
5363,LTEMP,8
5355,going to end now,8
1276,Pt touching head leads,8
5291,sesn 15,8
3734,drowsy theta,8
4424,frontal delta,8
9313,Pt answered correctly,8
4213,lots of muscle artifact,8
1670,sens10,8
5584,moving lots,8
3640,SENS10,8
5593,sorry,8
1186,Pt very confused,8
5260,nr,8
13508,resting quietly ,8
4374,NODDING ,8
2512,5x3,8
1942,pt is shaking,8
7837,20,8
953,age?,8
4331,pt talking and moving,8
4779,asking pt to EC,8
8773,see,8
3952,MOUTH MVT,8
6437,current month,8
2794,WILL PRESS,8
9456,C4,8
2181,good effort for 3mins,8
948,date today?,8
7290,pt is resting quietly,8
2263,chewing motion,8
3942,eye mvmnts +++,8
2125,good effort in hv,8
4037,25,8
1422,pt tense,8
2079,head mvts with good effort,8
7401,TAPE OVER EYELIDS,8
6292,right slow,8
2063,EKG artifact,8
8172,rubbing eye,8
922,eyes closed awake,8
6525,lots of eye blinks,8
723,will wake pt now,8
4023,tech reapplied EOG,8
16486,head moving,8
850,LESS TYPING NOW FOR SLEEP ,8
2462,SENS7,8
13137,rolling head around,8
2515,spelling name,8
2576,SNORING LIGHTLY ,8
10018,ask pt to keep head still,8
2603,HEAD RIGHT,8
6981,underlying slow,8
7014,lick lips,8
7120,11hz,8
4367,RESTING QUIETLY ,8
284,TRYING TO SIT UP,8
1432,phone ringing,8
2300,pt mumbling,8
2285,licking lips,8
20932,"HEAD MIDLINE, EYES CLOSED, ASLEEP ",8
16576,agitated,8
7115,ASK TO RELAX,8
248,talk to pt,8
15368,build up,8
724,head is slightly left,8
1911,***TAG***,8
7740,head LT,8
666,asking to EC,8
4965,awake and alert,8
1394,v,8
7643,reapplying EKG,8
5966,movement around pt,8
3160,ra,8
9084,"Montage:Lab1---Trans Bipolar, AUX1",8
4990,instructions for HV ,8
5844,eyelid flutter,8
1813,moved head,8
7601,eeys closed,8
5831,reapplied EOG1,8
1368,HFF 15,8
9637,left slowing,8
369,head slighlty right,8
597,Pt very tense,8
1470,ps off,8
201,PT TALKING,8
13254,turned head to right,8
18258,legs moving,8
2051,N,8
813,RIGHT HANDED ,8
14974,SITTING UP,8
3047,still waiting for sleep,8
6159,will alert again soon,8
6112,talks,8
62,22,8
1007,7,8
18399,niose,8
1009,1,8
6188,COMA 6/15,8
3921,back to waking background,8
3058,mouth movement,8
1973,pt restless,8
3887,ADJUST EKG SENS,8
2043,J,8
4886,BILAT TREMORS ,8
3063,12Hz,8
4591,lots of eye flutter,8
1927,Pt not closing eyes,8
2014,constant movement,8
