,annot,count
51,Laughing,481
2509,L,479
349,LFF1 HFF70 SENS7,473
536,correct,471
1947,Clenching Jaw,471
430,EYE FLUTTER,470
411,L TEMP,470
478,MODERATE EFFORT,468
653,PT CLOSES EYES,466
2043,Light Snoring,461
1685,L>R F-T SLOW,459
1208,COMA,456
928,JERK,455
499,CALLING PT,453
1136,swallow,450
860,SNIFF,446
647,LT TEMP,443
274,EYES REMAIN OPEN,443
1284,CHEWING,438
246,DOB,432
660,FAIR EFFORT,416
1532,PT LYING ON LEFT SIDE,415
182,SENS 15,415
254,CITY,408
824,NOTCH ON,406
93,SENS 10uV/mm,404
649,pt had good effort in HV,403
812,talking,396
1643,PEC,396
239,MOVING,396
247,DATE TODAY,388
917,SMILING,382
203,STRETCHING,381
1006,HEAD SLIGHTLY RIGHT,379
557,r,379
713,encourage,375
176,EYES STILL OPEN,375
600,RT TEMP,374
2796,sens 5,374
784,EYES STILL CLOSED,371
1255,EKG ARTIFACT,367
822,EKG SENS CHANGED,365
852,LAUGHING,363
366,BUILDUP,360
296,0.5 Hz,353
2372,XX,352
605,SENS 7 NOTCH OFF,348
110,eeg sens 7,347
953,RUBBING EYES,342
1646,LEFT TEMP,336
949,HEAD MOVTS,334
1174,eyes closed,333
506,PT LYING ON RIGHT SIDE,330
205,TOUCHING FACE,328
302,10.0 Hz,327
300,8.0 Hz,327
297,2.0 Hz,327
413,L>R,327
1638,HEAD CENTER,326
299,5.0 Hz,326
285,SCRATCH FACE,326
303,20.0 Hz,325
2363,EEG arousal,325
4211,crying,323
530,awake,322
2190,DROWSY/LIGHT SLEEP,321
604,RT F-T SLOW,320
1913,Licks Lips,319
5395,x,317
2558,?,315
2081,CLAPPING,313
2303,MOANING,312
252,DAY OF WEEK,311
1743,BITEMP,310
1157,drowsy,310
2605,EYE MOVEMENTS,309
108,R TEMP SLOW,306
216,EYES HALF CLOSED,305
49,Scratching,305
1210,PAINFUL STIM,304
56,Stretching,295
872,MVT,294
910,LICKS LIPS,292
2602,GEN DELTA,292
1769,CALL NAME,290
1979,GEN,288
935,NOTCH OFF,285
1278,HEAD LT,281
6158,RESTING,280
342,LIGHT SNORING,280
356,ENCOURAGE TIME,278
488,LT F-T SLOW,278
1029,Channels On/Off..Channel Status Set Manu,276
3988,GEN DYS,275
322,SENS 5,272
307,YEAR?,270
3471,HEAD SLIGHTLY LT,270
1756,HEAD RT,269
1300,Headbox Disconnecting,268
1035,EYE MOVEMENT,267
2193,SNORT,266
3725,EKG,265
916,HEAD TO LEFT,263
1899,WHERE ARE YOU?,263
2042,LTEMP,260
896,snoring,259
3454,EKG ARTIFACT PRESENT,259
2298,MUMBLING,253
2058,STOPPED COUNTING,252
2793,DRIVING,250
1149,pt resting quietly,250
1363,BLINK,248
1251,R>L F-T SLOW,244
1209,60 HZ FILTER ON,244
1067,Headbox Reconnected,243
1502,T4,243
313,GOOD ONGOING EFFORT,243
945,TALKING TO PT,242
677,Pt breathing normally,242
2107,THINKING,241
1634,SWEAT SWAY,240
5693,head left,239
1222,BODY JERK,238
831,HEAD MIDLINE,237
1536,sens7,236
1673,T3,232
4021,LEFT,231
2871,R TEMP,230
2865,L F-T,230
1181,eyes open,227
9048,B,227
2410,XXX,226
1516,STRETCH,223
931,MOAN,223
897,head right,223
5991,S,222
1507,BUILD UP,222
4862,sens 15,222
846,EYES REMAIN CLOSED,219
1125,supine - head midline - ec - awake,215
437,HOSPITAL?,214
292,GRIMACE,214
2196,PT ALERTED,213
1411,TECH FIXING ELECTRODES,212
1943,LIFTS HEAD,211
1224,SENS 10 uV/mm,209
143,2018,208
898,artifact,207
837,EEG SNS 7,206
740,R>L,204
1225,LT THETA,202
720,yawn,202
1789,CLEARS THROAT,202
1431,VERY WELL DONE,200
947,HEAD TO RIGHT,199
217,EXPLAINING HV,197
1049,GEN SLOWING,197
63,E,196
692,L F T,193
6213,HEAD L,193
4965,HEAD MVMT,191
515,WILL END HERE,191
449,HEAD R,188
1645,EYES RELEASED,187
1452,EYES CLOSING,187
392,COUNTING,185
1412,SWEAT ARTIFACT,184
2807,Montage:HATBAND,182
950,EYES SLIGHTLY OPEN,181
1043,GOOD START,180
1481,coughing,180
5881,TWITCH,180
871,SET UP PHOTIC,179
1749,RUB NOSE,179
475,L F-T DYS,177
9097,MVMT,176
477,POOR EFFORT,175
611,LT TEMP THETA,175
232,MOVING HEAD,175
212,EYES HALF OPEN,175
2206,HEAD SLIGHTLY RT,172
265,LIFTED HEAD,172
4092,PT ON RIGHT SIDE,170
10239,ON,169
984,RUBBING EYE,169
5327,SEE HERE,166
301,EYS ARE OPEN,165
3040,PT VERY DROWSY,164
1627,GOOD EFFORT CONTINUES,164
1477,coma,163
476,ASK PT TO LOOK AT ONE SPOT ON CEILING,163
675,"Montage:DOUBLE BANANA, AUX1",162
2424,SCRATCHING FACE,162
3931,light sleep,162
161,LOOKING AROUND,162
5161,LIFTING HEAD,161
127,PRESSING,160
1640,BLINKING EYES CLOSED,160
507,Custom...,160
3995,NOTCH IN,160
4216,pt talking,159
3170,Clears throat,159
1033,PEEKING,159
5885,Sobbing,158
498,SENS 15 uV/mm,157
3313,BLINKING SEEN,157
1418,going to alert pt,156
1461,ROOM LIGHTS ON,156
5725,SENS 7 ,156
1261,AWAKE/DROWSY,156
585,BDAY?,155
2431,FALLING ASLEEP,155
830,EYES CLOSED NOW,155
112,BITEMP SLOW,154
9868,SSS,153
65,F,153
1192,great effort,152
1234,LEFT FOOT,151
881,NODDING,150
7330,NO WD,150
46,DELTA,150
2405,asleep,149
2082,CALLING NAME,149
655,L F-T THETA,148
5729,ALERT,148
4089,TOUCHING HEAD,148
1126,date?,148
581,WILL SETUP PS,145
1196,head midline,145
1233,RIGHT FOOT,145
1455,ROOM LIGHTS OFF,145
67,G,145
1240,ASK PT TO OPEN MOUTH SLIGHTLY,144
1653,ENCOURAGING PATIENT,144
1235,LEFT HAND,144
745,LAUGH,143
1421,MOUTH MMVTS,141
62157,TW,139
3012,EEG SENS 20,139
1151,pt resting queitly,137
537,dob,137
892,POSTS,137
3965,NURSE AT BEDSIDE,137
1403,LOUD CLAPPING,136
2916,HEAD JERK,136
1232,RIGHT HAND,136
2187,LT TEMP SLOW,136
445,LFT,136
519,ASK PT TO LOOK AT ONE SPOT,136
5111,GEN S+W,136
1057,HEAD MOVEMENT,135
5112,PT FALLING ASLEEP,135
1218,NO WITHDRAWAL,135
414,BURST,135
2549,TENSE,134
646,ALERTING PT,134
2662,EYES AR EOPEN,134
3675,SCRATCH NOSE,133
618,RT TEMP SLOW,133
489,L TEMP DYS,133
5858,snore,133
566,head mid,133
2576,EMG+++,132
319,ASK PT TO RELAX FACE,132
1148,nil to note,131
1628,GOOD EFFORT THROUGHOUT,131
2833,chewing,131
1265,GET PT TO LOOK AT ONE SPOT,131
3275,Head Left,131
5728,ENC TO RELAX,131
2751,AWAKE EC HEAD MIDLINE - EEG SENS 7,129
673,WILL ALERT PT,129
2419,Moving,129
2514,cough,129
3569,BI F-T SLOW,128
4681,ALL ELECTRODES OK,128
4165,LICKING LIPS,127
4553,EEG SENS 10 NOW,127
1262,AWAKE/DROWSY EC HEAD MIDLINE EEG SENS 7,126
2341,C4,125
739,RELAX JAW AND FOREHEAD,125
5765,LB,125
3734,Montage:DOUBLE BANANA WITH SPH,124
6809,MOVING LEGS,124
1958,Impedance at 25 kOhm,124
609,MOUTH MVMTS,124
1916,DESCRIBING PHOTIC,123
1389,STOPPED,123
777,T6,122
1883,WITHDRAWAL,121
3057,LAUGHS,121
4700,SCREAMING,120
2759,SENS 15uV/mm,120
572,resting quietly,120
2241,NO CHANGE IN STATUS,120
62,NAME ANIMAL,118
1889,BLINKING SEEN EYES CLOSED,117
6174,muscle,117
3785,HV Begin,117
3789,HV End,117
5840,PT RETURNS TO NORMAL BREATHING,116
3191,MVTS,116
535,date today,116
3197,GROANS,115
2860,R F-T,115
1989,RIGHT,115
1122,EYE MVTS,114
3489,FRAGMENT,114
312,GOOD EFFORT ,114
97,MANY EYE MOVTS,114
1281,PASSIVE EYE CLOSURE,114
7886,build up,113
9494,Head Right,113
3786,HV 1Min,113
5876,HEAD MVT,112
3787,HV 2Min,112
13040,RIGHT TEMP,112
16890,HM EC AWAKE ,111
7034,PT MOANING,111
9252,OFF,111
2493,PT COUNTING TO TEN,111
2604,EMG,111
3836,HEAD MIDLINE SUPINE,110
451,ALERTING,109
1128,city?,109
6570,GOOD EFFORT CONT ,109
3533,DEEP BREATH,109
69,9HZ,109
128,RTEMP,109
1120,SETTING UP PHOTIC,108
2224,EYES ARE SLIGHTLY OPEN,108
7448,GEND SLOW,108
5485,LIGHT SLEEP EC HEAD MIDLINE EEG SENS 7,107
589,BI TEMP,107
6945,DROWSY EC HEAD MIDLINE EEG SENS 10,107
577,will end here,107
529,ec head mid,106
648,notch on,106
151,THETA,106
6266,DECREASED LOC,105
2893,GEN THETA,104
1785,ASK TO RELAX JAW,104
1107,SCRATCHING,104
1005,PT TOUCHING HEAD,104
3797,xx,104
1669,EYE MVT,104
5969,SOBBING,104
3406,L>R TEMP SLOW,104
2035,EEG SENS 7 NOW,104
1917,LIGHT DROWSY,103
3111,CHEWING MOTIONS,103
13272,LEG MOVTS,103
491,LEG MOVT,102
1129,abbotsford,102
963,7,102
845,WILL ATTEMPT PHOTIC,102
2447,SENS 20,102
651,alerting pt,100
2173,HERE,100
3718,PSWOY,100
1153,noise,100
591,NAMING ANIMALS,99
3140,MOVING LAMP,99
724,mvmnt,99
1626,GOOD EFFORT STILL,99
11250,BRIEF LIGHT SLEEP,99
1010,PT CRYING,98
810,smiling,98
2726,INTERMITTENTLY DROWSY,97
1904,ENCOURAGE REST AND RELAX,97
3262,NIL TO NOTE,96
4027,MONTH?,96
3222,RESTLESS,95
3381,R F-T MAX SLOW,95
2612,PT RUBBING EYES,95
656,LT F-T THETA,95
64,ELEPHANT,95
2167,HEAD STILL LEFT,94
3875,SUPINE,94
5946,?SSS,93
2938,TEMPS,93
2700,DESCRIBING HV,93
1780,sigh,93
1531,MONDAY,93
4244,NO,93
2119,EYE MVMTS,93
728,AWAKE EC HEAD MIDLINE,93
484,R F-T DYS,92
1919,WEDNESDAY,92
12322,HEAD RIGHT EC,92
1427,HEA DMIDLINE EC,92
1723,NOTE EKG,91
1096,HFF 30,91
2806,PT TOUCHING FACE,91
6621,OPENED EYES BRIEFLY,91
1659,SNORING LIGHTLY,91
3130,R F T,91
794,60 hz on,90
3125,PT OPENED EYES BRIEFLY,90
2838,moving head,90
2649,RUBBING FACE,90
95,PT RUBBING FACE,90
3739,EXPLAINING PHOTIC,89
139,WILL PRESS,89
5929,AROSUING PT,88
1909,Clenches Jaw,88
2323,PT MUMBLING,88
4517,YAWNS,88
2565,L TEMP THETA,88
5310,LEFT TEMP DYS,88
5270,CALL PT NAME,87
470,TECH FIXING EKG,87
5458,ENCOURAGED,87
8402,10HZ,87
516,Video Recording OFF,86
3235,L F-T MAX SLOW,86
983,RUB EYE,85
7806,eyes are open,85
91,rt,85
4693,eye movements,84
2561,TUESDAY,84
1271,NOTCH FILTER ON,84
798,NURSE TOUCHING PT,84
3862,LYING STILL,84
1056,RT F-T,84
371,ASK PT TO OPEN MOUTH,84
6053, ,84
3177,CALLING PT NAME,83
2814,BIFRONTAL,83
11696,head to left,83
5096,GEN S+W FRAGMENT,83
1324,EEG SENS 5,83
4311,SHAKING HEAD,83
12295,EC HM DROWSY,83
2709,"HEAD MIDLINE, SUPINE",82
887,NOTCH ON EKG,82
3223,GROAN,82
1680,HD RT,82
1130,naming animals,82
554,10,82
2762,HEAD STILL RIGHT,81
5717,deep breath,81
966,THURSDAY,81
4147,TOO MUCH EKG,80
9800,HEAVY BREATHING,80
1001,HEAD MIDLINE EO,80
2327,DROWSY/LIGHT SLEEP EC HEAD MIDLINE EEG S,80
57,dob?,79
1901,SPELL ABBOTSFORD,79
1211,PAINFUL STIM RIGHT HAND,79
1473,PT DONE COUNTING,79
263,GRIMACING,79
5211,SNEEZE,79
2437,L FT,79
3579,T5,79
5734,RT TEMP THETA,78
130,WIGGLE FINGERS,78
550,9,78
4702,TECH TOUCHING ELECTRODES,78
1665,MOUTH MVT,78
364,OVERALL GOOD EFFORT,78
24129,shaking,78
562,room lights down,78
293,PEEKED,78
6032,eye flutter,78
5366,moaning,78
5200,eye movement,77
14888,sobbing,77
1898,ENCOURAGE RELAX JAW,77
2370,SLEEP,77
552,3,77
2482,fair effort,76
563,letting pt rest,76
912,HEAD CENTRE,76
1712,MVMNT,75
2812,COUGHS,75
387,INTERM DROWSY,75
2704,X?,75
6162,EKG NOTCH IN,75
1596,GROANING,75
6160,PT RESTING,75
5359,light snoring,74
5164,ENCOURAGING,74
1517,NAME ANIMALS,74
3365,lt,74
6924,COMATOSE,74
996,RELATIVELY STILL,74
1736,BITEMP DYS,74
8106,LEFT TEMP SLOW,74
602,SCRATCHING HEAD,74
3392,BIF-T SLOW,74
2149,stop,74
1143,licks lips,74
5895,PVC,73
2184,PT ON LEFT SIDE,73
2165,INTUBATED AND VENTILATED,73
1429,EYE MOVTS SEEN,73
699,sen 10,73
5084,GEN PS+W,73
11561,TIC,73
4838,SENS10,73
1451,EYES ARE CLOSED NOW,72
4953,Montage:Channel Test Referential,72
6820,head centered,72
12941,VENT,72
551,6,72
1973,muscle artifact,72
3161,F7-T3,72
2951,QUIET AND STILL,72
4290,SCRATCH HEAD,72
7351,eye movt,72
729,RELAX FOREHEAD,72
586,MIDDLE NAME?,71
3104,RELEASE,71
409,JAW MOVT,71
253,FRIDAY,71
1770,ASK TO EO,71
3886,MOVING HANDS,71
6319,RUBBING NOSE,71
9387,ONGOING MOVEMENT,71
6181,TECH FIXING ELECTRODE,71
4796,R TEMP DYS,71
11466,LT T THETA,70
1214,PAINFUL STIM LEFT HAND,70
1227,LT F-T,70
940,MOM TALKING TO PT,70
4774,60 HZ ON EKG AND EOG,70
2639,SHAKING,70
2091,PT STILL LYING ON RIGHT SIDE,69
3802,STOP - NO RESPONSE,69
548,15,69
68,GIRAFFE,69
1985,stretching,69
4041,R TEMP SSS,69
2552,pt had great effort in HV,69
5210,MODERATE TO GOOD EFFORT,68
5806,HR,68
1123,POP,68
416,GEN BURST,68
2083,WHERE?,68
3606,C3,68
662,BETTER EFFORT,68
9111,HICCUP,68
3117,PT TRYING TO GET UP,67
7348,Hicup,67
2148,start,67
2282,RUB FACE,67
2544,SHARPLY CONTOURED,67
14916,L T,67
7325,FIXING,67
2337,SHARP,67
1691,HEAD MID,67
4886,PT SCRATCHING FACE,67
7120,PT ALERTS,67
3583,ASK PT TO RELAX,67
2179,?FRAGMENT,67
971,WILL ATTEMPT HV,67
171,PASSIVE EC,67
6707,GEN SLOW WITH BI-F-T MAX,66
10712,mumbling,66
769,YES,66
1388,JERKING,66
8482,WHERE ARE YOU,66
11931,movt,66
2689,WILL BEGIN ALERTING PT,66
399,OVERHEAD LIGHTS OFF,65
3743,EYES CLOSED AWAKE,65
5291,laughs,65
155,RT THETA,65
4884,4,65
1159,driving,65
4600,?GEN S+W FRAGMENT,65
5048,S+W,65
16891,EO ,65
9530,EC ,65
6192,Aroused,65
7061,DROWSY EC HEAD MIDLINE - EEG SENS 7,64
6069,OPEN MOUTH,64
2222,PT ANSWERS CORRECTLY,64
6144,??,64
2658,ASK PT IF OK,64
2989,PT CLOSED EYES,64
1946,TOUCHING WIRES,64
3228,HEAD MVTS,64
16024,PT IS TALKING,63
1164,SW,63
3393,RUB EYES,63
13263,Recording Analyzer - CSA,63
454,GEN'D SLOW,63
1032,PEEK,63
5032,RT SLOW,63
408,WILL TRY TO ALERT PT,63
2200,ASK PT TO RELAX FOREHEAD,63
8016,AWAKE EC HEAD MIDLINE EEG SENS 10,63
785,PT SCRATCHING HEAD,63
5536,ENCOURAGE HV,62
10540,blinking,62
1741,LT DELTA,62
3706,done,62
8114,LEFT SLOW,62
29356,EC - HEAD MID - DROWSY,62
8917,PT ON RT SIDE,62
4272,Softly snoring,61
3401,WILL TURN ON LIGHTS AND WAKE PT,61
72,I,61
3120,ASK PT TO OPEN EYES,61
455,L>R SLOW,61
5804,HL,61
5172,SITTING UP,61
4883,2,61
19970,T3 SPIKE?,61
1187,MU,61
382,60 HZ OFF,61
2418,Good effort,60
2667,SPONT EO,60
1519,CAT,60
4753,KICKING,60
6130,LFF1 HFF70 SENS10,60
3326,8,60
15330,YELLING,60
4885,5,60
4792,ASK PT TO CLOSE EYES,60
17919,F4,60
2259,EYES OPENING AND CLOSING,60
4009,?WICKET,60
1014,LICK LIPS,59
16295,Head twitch,59
2665,PT STILL LYING ON LEFT SIDE,59
4868,HD LT,59
2692,relax jaw,59
2569,60HZ ON,59
11996,LABOURED BREATHING,59
122,L POST TEMP SLOW,59
9197,clapping,59
2800,snort,59
1150,supine - head midline - ec - awake/drows,59
6025,theta,58
3467,?DROWSY,58
3253,HEAD CENTERED,58
412,L THETA,58
2891,GIVING PT BLANKET,58
936,WILL BEGIN WAKING PT,58
6694,CLEARING THROAT,58
2898,P4,57
2798,mvt,57
2710,"EYES CLOSED, AWAKE",57
31638,EC HEAD MID AWAKE,57
3560,SPELL NAME?,57
7242,BIFRONTAL DELTA,57
394,PT LAUGHING,57
7208,MOVES,57
333,ASK PT TO KEEP HEAD STILL,57
9976,TECH TOUCHING PT,57
4778,touching face,57
520,L THEN R F-T SLOW,57
4045,NOT ASLEEP,57
8658,ASK TO RELAX,57
7410,V DROWSY,57
5077,SCRATCH CHIN,57
7474,GOOD,56
11154,head rt,56
6014,lion,56
1231,ALL GOOD,56
8228,peeking,56
7196,ENCOURAGE RELAX,56
327,BIRTHDAY?,56
43535,Patient Event,56
1657,LIGHT SNORE,56
1436,R POST TEMP SLOW,56
1223,NR,56
26763,head to rt,55
8810,TECH TALKING TO PT,55
1013,LIFT HEAD,55
6333,DATE,55
14340,SCRUNCHING FACE,55
1394,ASKING PT TO OPEN EYES,55
380,"HEAD MIDLINE, SUPINE, EYES CLOSED, AWAKE",55
569,ec head mid awake,55
6250,TECH PRESSING,54
918,HEAD LEFT EC,54
780,COUNTING TO TEN,54
147,HORSE,54
1059,DROWSY?,54
1263,R>L TEMP SLOW,54
2312,SELF ALERT W SNORE,54
20762,EYELID FLUTTER,54
1717,SEN 10,54
3493,FRAG,54
2390,Montage:ANTERIOR HALO,54
4701,HFF 15 HZ,53
2670,SUPINE HEAD MIDLINE,53
6186,NO MOVTS,53
1017,TOO MUCH EKG ARTIFACT,53
3412,BODY TWITCH,53
4317,SLOW,53
18306,semi coma,53
6973,PT THINKING,53
716,nodding,53
402,OVERHEAD LIGHTS ON,53
747,EXPLAIN PS,53
7334,FAIR TO GOOD EFFORT,53
496,LIGHT SON,53
7607,explain hv,52
1934,PAUSES,52
5570,NURSE CARE,52
8944,PAUSED,52
4038,NO EFFORT,52
15089,F8-T4,52
4882,1,52
1787,EXPLAIN PHOTIC,52
5955,PT IS DROWSY,52
3776,M,52
3570,EKG ARTIFACT IN A1,52
2600,SCRATCHING NOSE,52
9499,MOVE,51
3303,yawning,51
5367,moan,51
4741,MOM WAKING PT,51
4750,KICKING LEGS,51
5759,ask pt bday,51
2380,xxx,51
8247,R THEN L F-T SLOW,51
2795,set up photic,51
2540,DROWSY THETA,51
6554,self alerted,50
1539,MONTH,50
1607,FOX,50
2697,9X3?,50
2661,ASK PT TO FOCUS ON ONE SPOT ON CEILING,50
1658,ALERTED,50
7354,Head Midline,50
6614,TOO MUCH MUSCLE,50
3208,TECH AT BEDSIDE,50
13745,?SHARP,50
2486,moving arms,50
4830,WILL TURN ON LIGHTS,50
14035,ON R SIDE,50
1877,JAW MUSCLE,50
4117,DROWSINESS?,49
13740,IN AND OUT OF LIGHT SLEEP,49
12432,EO NOW,49
9691,MOUTH OPEN,49
4406,HEAD MIDLIEN EC,49
1609,eye movts,49
3021,EEG SENS 15 NOW,49
15597,HEAD TWITCH,49
1873,EKG CONTAM,49
5476,TECH CHECKING ELECTRODES,49
2702,PT REPEATS,49
1406,Fair Effort,49
19516,OPENS EYES,49
6348,SENS7,49
960,RT DELTA,49
874,NO CHANGE,49
11159,L>R TEMP,49
8363,PT IS COUNTING,48
5841,WILL WAKE PT NOW,48
3405,L FRONTOTEMP SLOW,48
19753,TREMOR,48
3798,WILL WAKE PT,48
5518,T3 ARTIFACT,48
3527,L F-T SLOWING,48
9907,TELL PT HE CAN REST,48
992,HEAD SLIGHTLY R,48
594,BI TEMP SLOW,48
9602,CLENTCHING TEETH,48
5901,P3 ARTIFACT,48
8706,supine - head midline - ec - drowsy,48
9521,BRIEF AROUSAL,48
12028,MINIMAL EFFORT,48
3605,P3,48
4688,RESP ARTIFACT,47
1713,EMG++,47
805,first name,47
725,rubbing eyes,47
925,HEAD S LEFT,47
15955,WD,47
1618,A2 ARTIFACT,47
12697,PT HAS OPENED EYES,47
781,COUNTING BACKWARDS,47
547,18,47
4737,ncs,47
211,MOVING MOUTH,47
1524,FROG,47
304,ask pt to relax jaw,46
426,OFFER BLANKET,46
10422,CLENCH TEETH,46
1155,twitch,46
3126,JAW MOVTS,46
5592,HFF 70 HZ,46
10216,ecc,46
9998,EYSE ARE OPEN,46
5784,LT SLOW,46
1562,NOT SURE,46
50,set up ps,46
2694,PT COUNTING BACKWARDS FROM 10,46
4963,SENS 10 NOTCH OFF,46
612,EYE MVMT,45
3316,BI-F-T DYS,45
804,thinking,45
9325,PT IS VERY DROWSY,45
2273,RUB MOUTH,45
1051,MOUTH MOVEMENTS,45
24335,REPEAT,45
2254,SCRATCH SHOULDER,45
5644,HEAD TO RT,45
479,GOOD EFFORT NOW,45
549,12,45
2853,touching head,45
1613,PRESSED ON ELECTRODES,45
1621,scratching face,45
25358,EC - HEAD MIDLINE - DROWSY,45
1476,PT VERY SWEATY,44
5524,TECH CLAPPING,44
4494,MOVING FEET,44
1557,ASLEEP??,44
2307,HEAD MOVT ARTIFACT,44
2567,R>L SLOW,43
6256,INTERMITTENT LIGHT SLEEP,43
4666,STILL COUNTING,43
1216,PAINFUL STIM RIGHT FOOT,43
2133,SHIVERING,43
7464,ekg artifact,43
7049,blink,43
5985,QUIET,43
19427,LFF1 HFF70 SENS15,43
6941,BETTER EFFORT NOW,43
10041,BI FT,43
510,SSS?,43
5209,MOVING ARMS,43
5329,F8,43
18308,touching pt,43
6362,LFF 3 HZ,43
5609,mouth movement,43
2783,MOANS,43
521,SMILES,43
10826,SPIKE AND WAVE,42
4704,PT SCREAMING,42
2923,tense,42
76533,continuous mvt and artifact,42
894,WILL ALERT PT SHORTLY,42
956,SCRATCH NECK,42
2926,L DELTA,42
4375,Montage:ECS,42
3656,EKG NOTCH ON,42
6092,move,42
17184,JERKS,42
2281,TOUCH FACE,42
6015,snake,42
9789,GEND DYS,42
1248,R F-C SLOW,42
17841,sitting up,42
1552,ASLEEP?,42
1956,RMTD,42
